POA_CODE,STATE,Weighted average income,Weighted average IRSAD quartile,Mortgage percentage unaffordability,Rent percentage unaffordability,House,Semi-detached,Apartment,House percentage,Semi-detached percentrage,Apartment percentage,Owned outright percentage,Mortage percentage,Renting percentage
2207,NSW,121363.5669,2.584291394,24.20512821,43.55514193,6080,2242,1888,59.54946131,21.95886386,18.49167483,38.42105263,35.51535088,26.06359649
2208,NSW,120311.565,2.507134503,27.05984389,43.78698225,3797,377,460,81.93785067,8.135520069,9.926629262,42.15428708,31.19178409,26.65392883
2209,NSW,109607.5962,2.433872153,25.81560284,40.47619048,3600,1053,1343,60.04002668,17.56170781,22.39826551,34.14634146,29.83114447,36.02251407
2210,NSW,111007.5441,2.436470284,25.030012,41.22562674,7193,2000,3672,55.91138749,15.54605519,28.54255733,31.61415244,33.00475268,35.38109488
2211,NSW,117044.2592,2.544303797,23.7398374,40.96774194,4456,1548,550,67.98901434,23.61916387,8.391821788,34.91052994,35.220234,29.86923606
2212,NSW,116850.1003,2.518625157,21.71012735,38.28306265,3914,1722,432,64.50230719,28.37837838,7.119314436,30.52400147,34.29827776,35.17772078
2213,NSW,127535.1729,2.645710627,22.59845418,38.3583691,5947,2007,457,70.70502913,23.8616098,5.433361075,34.1015625,39.0625,26.8359375
2214,NSW,124447.8319,2.709145427,20.73394495,45.58823529,1320,74,3,94.48818898,5.29706514,0.214745884,42.76970161,46.36572303,10.86457536
2216,NSW,110433.2254,2.38704112,26.77939442,38.53836784,3874,789,7372,32.18944744,6.555878687,61.25467387,28.52404643,27.72412448,43.75182909
2217,NSW,116141.5199,2.517650381,26.19222304,36.73469388,3983,1294,6898,32.71457906,10.62833676,56.65708419,29.71648246,29.23594426,41.04757328
2218,NSW,111334.3823,2.489339752,24.35197817,38,2314,356,3789,35.82597925,5.511689116,58.66233163,29.98245614,28.35087719,41.66666667
2219,NSW,120151.2945,2.476842303,28.04532578,42.86728176,2648,1536,1798,44.26613173,25.67703109,30.05683718,40.38831219,30.37293349,29.23875433
